,group,accountant,astronaut,graphic designer,manager,marketing manager,marketing specialist,retired teacher,robotics engineer,social media influencer,software engineer,student,teacher
0,baby_boomer,30.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0
1,generation_x,0.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,40.0,0.0,10.0
2,millennial,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
3,generation_z,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0
4,generation_alpha,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,80.0,0.0
