,group,art therapist,artist (painter),attorney,business executive,business owner,businessman,businesswoman,ceo,educator,entrepreneur,executive,financial analyst,freelance illustrator,investment banker,journalist,lawyer,management consultant,political campaign manager,prima ballerina,psychologist,software engineer,teacher
0,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,10.0,20.0,0.0,0.0,10.0,0.0,10.0,0.0
1,white,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2,black,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
3,hispanic,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0
4,asian,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
