,group,content creator,digital marketing manager,digital marketing specialist,environmental scientist,graphic designer,marketing manager,project manager,social media manager,software developer,strategist,student,sustainability influencer,teacher
0,baby_boomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,generation_x,0.0,0.0,0.0,0.0,10.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2,millennial,0.0,10.0,50.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
3,generation_z,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
4,generation_alpha,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,50.0,10.0,0.0
