,group,accountant,environmental scientist,event planner,graphic designer,journalist,lawyer,lawyer/politician,marketing specialist,nurse,social worker,software engineer,teacher,writer
0,baby_boomer,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,70.0,6.0
1,generation_x,0.0,2.0,0.0,54.0,0.0,0.0,0.0,10.0,0.0,6.0,2.0,22.0,4.0
2,millennial,0.0,0.0,4.0,54.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,8.0,4.0
3,generation_z,0.0,0.0,0.0,76.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,10.0,2.0
4,generation_alpha,0.0,2.0,6.0,58.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,20.0
