,group,accountant,artist,botanist,community organizer,environmental scientist,event planner,farmer,fashion designer,fashion model/entrepreneur,graphic designer,journalist,librarian,marketing specialist,midwife,monk,nurse,rabbi,social worker,software engineer,teacher,torah scribe,urban planner,writer
0,neutral,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,0.0,0.0,2.0
1,white,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,14.0,6.0,2.0,0.0,20.0
2,black,4.0,2.0,0.0,8.0,0.0,0.0,2.0,8.0,2.0,22.0,4.0,0.0,0.0,10.0,0.0,2.0,0.0,4.0,8.0,2.0,0.0,0.0,22.0
3,hispanic,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,4.0
4,asian,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,14.0,4.0,4.0,0.0,20.0,0.0,0.0,2.0,14.000000000000002,2.0,0.0,0.0,8.0
