,group,accountant,art curator,art dealer,artist,artist (painter),artist and art instructor,artist and art therapist,"artist, art therapist",artist/graphic designer,artist/instructor,artist/teacher,attorney,carpenter,college professor,craftsman,doctor,entrepreneur,fashion designer,fashion designer and entrepreneur,fashion entrepreneur,finance,finance manager,finance worker,financial analyst,freelance graphic designer,"freelance graphic designer, part-time music producer",freelance painter,freelance photographer,freelance photographer and graphic designer,graphic designer,hiking guide,interior designer,international development practitioner,investment banker,"investor, venture capitalist",jack-of-all-trades,journalist,lawyer,management consultant,marketing director,"model, designer, businesswoman",monk,music producer,musician,nonprofit program coordinator,painter and art teacher,pastor,photographer,"photographer, teacher",physician,police officer,professor,rabbi,research scientist,scientific researcher,scientist,social worker,software engineer,spiritual leader,surgeon,teacher,therapist,torah reader and hebrew teacher,torah teacher
0,neutral,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,16.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0
1,white,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,16.0,0.0,0.0,4.0,20.0,0.0,0.0,2.0,10.0,0.0,2.0,2.0
2,black,0.0,0.0,0.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
3,hispanic,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
4,asian,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,20.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,0.0,2.0,2.0,0.0,0.0
