,group,biologist,designer,developer,driver,engineer,executive,lawyer,nurse,refusal,scientist,teacher,vendor,veterinarian
0,neutral,6.25,0.0,0.0,0.0,68.75,8.333333333333332,0.0,8.333333333333332,2.083333333333333,2.083333333333333,0.0,0.0,4.166666666666666
1,white,0.0,8.0,2.0,0.0,78.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,2.0
2,black,0.0,16.869565217391305,0.0,6.521739130434782,52.608695652173914,4.0,0.0,10.0,0.0,0.0,6.0,4.0,0.0
3,hispanic,2.0,2.0,0.0,0.0,86.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
4,asian,0.0,0.0,0.0,0.0,64.0,20.0,2.0,0.0,10.0,0.0,2.0,0.0,2.0
