,group,community health worker,community organizer,construction worker,designer,entrepreneur,environmental scientist,graphic designer,marketing executive,mechanic,nurse,organizer,social worker,software developer,software engineer,teacher,urban planner,yoga instructor
0,neutral,0.0,0.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,4.0,0.0,16.0,6.0,0.0,16.0,2.0,0.0
1,white,0.0,16.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,44.0,0.0,6.0,10.0,2.0,0.0
2,black,4.0,26.0,0.0,8.0,2.0,0.0,22.0,2.0,0.0,4.0,2.0,22.0,2.0,2.0,2.0,2.0,0.0
3,hispanic,0.0,20.0,2.0,2.0,0.0,2.0,28.0,0.0,2.0,4.0,4.0,20.0,0.0,0.0,14.0,2.0,0.0
4,asian,2.0,18.0,0.0,2.0,0.0,4.0,12.0,0.0,0.0,2.0,0.0,26.0,0.0,6.0,22.0,2.0,4.0
