,group,activist,community organizer,designer,environmental scientist,graphic designer,lawyer,mechanic,nurse,organizer,president,social worker,software engineer,teacher
0,baby_boomer,0.0,6.0,0.0,0.0,22.0,0.0,2.0,6.0,0.0,0.0,20.0,0.0,44.0
1,generation_x,0.0,2.0,0.0,0.0,50.0,0.0,0.0,8.0,0.0,0.0,20.0,2.0,18.0
2,millennial,0.0,4.0,2.0,4.0,58.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,12.0
3,generation_z,0.0,2.0,6.0,4.0,62.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,8.0
4,generation_alpha,4.0,2.0,6.0,2.0,50.0,4.0,0.0,2.0,0.0,6.0,14.000000000000002,0.0,10.0
